,ConstituentID,Classification,DateAcquired,Cataloged,ObjectID,Height(cm),Width(cm)
47725,2880.0,Photograph,13/10/1977,N,51951,12.8,18.7
119938,1293.0,Drawing,21/01/2016,Y,201979,,
8142,1104.0,Illustrated Book,07/01/1975,N,9864,11.0,28.4
87998,649.0,Print,22/01/1992,Y,108942,45.7,31.5
106529,29732.0,Architecture,07/06/2012,Y,161386,29.0,21.0
111782,1634.0,Illustrated Book,11/12/1968,Y,174623,15.4,10.0
72100,3086.0,Painting,08/06/1992,Y,79466,237.8,128.0
70111,4479.0,Print,24/05/2001,N,77016,45.5,57.5
121428,49682.0,Photograph,19/05/2016,N,215875,0.0,40.64008128
65122,2372.0,Print,08/12/1939,Y,71493,22.2,39.4
90312,34650.0,Print,12/03/2008,Y,118167,81.0,65.0
50387,4548.0,Photograph,09/01/1962,N,54869,34.8,27.0
73449,3404.0,Sculpture,08/11/1961,Y,81322,255.2,116.8
84492,24697.0,Design,18/10/2005,Y,100126,29.5276,36.5126
45032,6329.0,Photograph,12/11/1935,Y,49129,19.2,24.0
122013,6072.0,Drawing,21/03/2018,Y,217864,99.37769876,72.39014478
55975,6136.0,Print,19/02/1958,N,61200,,
129725,922.0,Illustrated Book,06/10/1964,Y,405528,29.0,23.6
66403,2923.0,Print,17/11/1993,Y,72907,72.0,46.6
115254,34459.0,Film,08/10/2008,N,188475,0.0,0.0
124096,38023.0,Multiple,08/10/2008,N,275255,8.6,15.4
116830,5145.0,Photograph,28/05/2015,Y,194109,,
111664,131745.0,Photograph,07/10/2010,N,174503,28.57505715,39.37007874
58830,4831.0,Print,06/04/1965,N,64432,68.3,35.6
48639,3650.0,Photograph,15/10/1992,Y,52908,28.0,35.6
75608,24671.0,Design,13/05/2002,Y,84260,99.6952,62.8651
58115,5809.0,Print,26/05/1960,Y,63621,90.5,63.3
83839,5084.0,Drawing,10/05/2005,Y,97892,55.8801,63.5001
33865,3566.0,Drawing,02/11/1977,N,37236,,
79908,3762.0,Print,19/12/1947,N,91935,17.8,20.8
84779,7919.0,Print,25/10/2005,Y,100557,150.0,97.2
9718,4327.0,Print,19/03/1956,Y,11614,16.2,11.0
121246,7166.0,Mies van der Rohe Archive,,N,214728,20.32004064,25.4000508
58984,1892.0,Print,18/01/1983,Y,64626,62.2,55.9
79305,3923.0,Print,29/09/1949,N,90003,,
13808,4975.0,Illustrated Book,24/01/2001,Y,15932,17.2,12.9
20399,1055.0,Illustrated Book,06/10/1964,N,22762,29.6,24.6
127340,74481.0,Photograph,,N,295469,,
19219,3580.0,Illustrated Book,15/10/1959,N,21572,15.2,4.5
62666,710.0,Print,18/11/1999,Y,68764,30.4,25.2
114086,1533.0,Photograph,08/05/2014,N,185064,21.7487935,28.41630683
124554,8595.0,Photograph,26/10/2017,Y,277379,5.08001016,5.08001016
94166,5740.0,Design,15/04/2009,Y,129068,22.22504445,28.0988062
71259,483.0,Painting,17/02/1938,Y,78365,63.5,86.4
51300,4315.0,Photograph,15/06/1995,Y,55821,19.6,24.5
836,1235.0,Design,24/09/2001,Y,1102,20.32,
95225,5785.0,Multiple,08/10/2008,N,131756,2.5,6.0
84969,3810.0,Photograph,20/10/2005,Y,101413,36.0,22.8
96959,1873.0,Photograph,08/10/2008,N,135458,30.9,22.5
84812,4550.0,Print,13/11/1995,Y,100816,41.9,25.0
106337,41861.0,Film,12/04/2012,N,160678,,
93527,8383.0,Drawing,11/04/2007,Y,127859,24.76504953,30.48006096
119822,6459.0,Frank Lloyd Wright Archive,,N,201680,30.16256033,83.82016764
12705,366.0,Illustrated Book,20/05/1992,N,14764,31.9,25.7
128639,8595.0,Photograph,12/11/2019,N,400093,7.7,7.6
82234,8276.0,Drawing,10/05/2005,Y,96151,50.48260097,59.37261875
123985,69904.0,Architecture,12/02/2018,N,274541,90.0,126.0
61623,1243.0,Print,25/10/1956,Y,67589,31.0,24.9
99453,8595.0,Photograph,07/10/2010,Y,141092,10.8,8.5
21620,1492.0,Illustrated Book,06/10/1964,N,23987,25.0,17.6
87978,32631.0,Installation,11/04/2007,Y,108909,,
126199,5785.0,Drawing,05/11/2018,Y,289429,29.84505969,42.22758446
7873,411.0,Illustrated Book,09/01/1986,N,9589,15.0,30.5
99319,8059.0,Mies van der Rohe Archive,,N,140922,20.95504191,29.84505969
86493,4185.0,Print,14/11/2006,Y,105754,44.4501,39.3701
125591,47646.0,Drawing,23/05/2018,Y,284264,23.17754636,32.38506477
78895,26544.0,Video,,Y,88840,,
43523,3716.0,Photograph,02/04/1974,N,47510,21.3,14.6
123453,5569.0,Photograph,,N,229545,25.4,20.3
25781,3821.0,Illustrated Book,06/10/1964,N,28182,17.5,15.0
79624,3528.0,Print,04/04/2002,Y,91406,72.0,91.1
11702,1055.0,Illustrated Book,24/01/2001,Y,13686,29.3,23.0
73811,2141.0,Sculpture,10/01/1967,Y,81822,5.4,
76058,,Print,,N,84742,,
34835,1851.0,Drawing,05/03/1970,Y,38460,,
106318,3213.0,Drawing,10/04/2012,Y,160637,25.4000508,20.32004064
72636,6318.0,Painting,18/10/1967,Y,80212,203.8,165.1
57025,2895.0,Print,05/05/1982,Y,62400,66.3,60.6
13173,3302.0,Illustrated Book,10/05/1966,N,15244,15.3,12.2
88838,1000.0,Photograph,09/02/2009,Y,110882,58.8964,90.0114
7583,4325.0,Illustrated Book,07/02/1972,N,9286,24.5,20.4
10240,97.0,Illustrated Book,09/05/1975,N,12157,20.4,38.2
46923,5667.0,Photograph,,Y,51122,18.3,23.6
100672,1633.0,Print,06/12/1966,N,143600,,
47881,6989.0,Photograph,11/10/1990,Y,52118,41.2,58.6
14981,3344.0,Print,22/05/1969,Y,17174,58.42011684,73.66014732
53463,416.0,Photograph,04/12/1974,Y,58060,21.0,29.3
32812,5804.0,Drawing,07/05/1963,N,35913,,
63981,2240.0,Print,08/10/1963,Y,70229,38.7,50.6
119093,4550.0,Print,27/10/2015,Y,200628,19.0,14.7
86650,25967.0,Print,07/03/2007,Y,105974,41.1,35.0
97952,36944.0,Print,08/10/2008,N,137196,42.1,29.0
26660,4016.0,Illustrated Book,06/10/1964,Y,29063,25.3,21.0
99490,8595.0,Photograph,07/10/2010,Y,141129,8.4,5.6
122631,68232.0,Photograph,26/10/2017,Y,221837,73.66014732,48.26009652
41574,861.0,Photograph,,N,45396,24.2,19.1
113333,47937.0,Periodical,,N,183648,27.5,18.2
47570,4872.0,Photograph,04/06/1974,Y,51793,30.5,45.2
101914,35285.0,Print,18/06/2008,Y,146813,43.1,55.9
99369,38623.0,Photograph,02/05/1944,Y,140995,39.3701,29.2101
35209,229.0,Photograph,06/03/1968,N,38912,,
110101,41829.0,Print,07/02/2013,N,169317,,
101010,,Periodical,10/11/2010,N,144379,30.8,23.2
28108,5053.0,Illustrated Book,06/10/1964,N,30522,30.1,20.0
128784,7053.0,Photograph,12/11/2019,Y,401266,45.08509017,55.88011176
122910,67458.0,Drawing,,Y,222469,25.4000508,36.83007366
76901,1485.0,Drawing,10/11/1964,Y,85664,13.0,18.4
833,24714.0,Design,24/09/2001,Y,1099,19.685,13.6525
93663,756.0,Multiple,08/10/2008,Y,128043,27.6,9.2
25681,3753.0,Illustrated Book,06/10/1964,Y,28081,9.9,14.8
45716,1681.0,Photograph,13/06/1996,Y,49855,24.8,20.0
92152,35987.0,Video,08/10/2008,Y,122026,,
31680,5640.0,Drawing,28/04/1981,Y,34450,14.9,22.2
