,ConstituentID,DisplayName,Nationality,Gender,BeginDate,EndDate
465,538,Pierre Betz,French,Male,1899,1969
9679,26978,"Chupa Chups S.A., Spain",,,0,0
4697,5261,Philipp Scholz Rittermann,Peruvian,Male,1955,0
5136,5740,Ladislav Sutnar,American,Male,1897,1976
443,516,Ruth Bernhard,American,Female,1905,2006
737,837,Camille Bryen,French,Male,1907,1976
14633,67871,Dagobert Peche,Austrian,Male,1887,1923
8163,10338,"E. Bakalowitz & Söhne, Vienna",,,0,0
5804,6489,Hiroshi Yamazaki,Japanese,Male,0,0
10825,31051,Bruce Sterling,American,Male,1954,0
3823,4281,Albert Newall,British,Male,1920,1989
2073,2344,John Grillo,American,Male,1917,0
3154,3545,Al Lieberman,American,Male,1939,0
2440,2749,Douglas Huebler,American,Male,1924,1997
12525,39639,Robert De Boeck,,Male,1944,1999
4385,4908,Hans Richter,American,Male,1888,1976
8697,18376,Kenneth J. Germeshausen,,Male,0,0
9811,27544,"Bauhaus Metal Workshop, Weimar, Germany",German,,0,0
5226,5843,Bob Thall,American,Male,1948,0
452,525,Palme Berthold,,,0,0
9205,24063,B. Timov,,,0,0
9652,26850,"Weiss/Manfredi Architects, New York, NY",,,0,0
7346,8384,Francis Meynell,British,Male,1891,1975
7818,9460,Unknown Czechoslovakian Manufacturer,Czechoslovakian,,0,0
3517,3935,Carlos Mérida,Guatemalan,Male,1891,1984
10005,28410,Geraldo de Barros,Brazilian,Male,1923,1998
9707,27033,"Moore Push-Pin Company, USA",,,0,0
8867,22754,"Richard Meier & Associates, Architects",,,1963,0
8348,10792,"Velca, Milan",,,0,0
12934,41986,Adam Helms,American,Male,1974,0
1782,2019,Stephen Frykholm,American,Male,1942,0
10255,28773,Michael S. Riedel,German,Male,1972,0
1112,1267,Robert Cottingham,American,Male,1935,0
2245,2534,Hasui,Japanese,Male,1883,1957
1721,1953,Foster Associates,British,,1967,0
3743,4185,Elizabeth Murray,American,Female,1940,2007
4932,5518,Skidmore Owings & Merrill,American,,1936,0
2526,2848,Koji Iwagami,Japanese,Male,1951,0
9356,24515,Lee Miller,American,Male,1907,1977
14248,48858,Wilhelm Thiele,Austrian,Male,1890,1975
12947,42029,Julie Taymor,American,Female,1952,0
8642,14185,Aleksei Remizov,,Male,1877,1957
3190,3583,"Compagnie de L'Esthétique Industrielle (CEI) - Raymond Loewy, Paris",,,1952,0
10664,30880,Georg Chaimowicz,Austrian,Male,1929,2003
1799,2038,Albert Fuss,German,Male,1889,1969
3906,4375,Albert Oehlen,German,Male,1954,0
12657,40743,Fabrice Mory,,,0,0
501,577,Louis-Auguste Bisson,French,Male,1814,1876
1462,1664,Allen A. Dutton,American,Male,1922,0
12311,38273,Mikhail Cheremnykh,Russian,Male,1890,1962
8412,10961,Westfield Manufacturing Corp.,,,0,0
5523,6178,Lucien Vlerick,Belgian,Male,1921,0
6583,7441,Ross Lovegrove,British,Male,1958,0
146,180,Benny Andrews,American,Male,1930,2006
2418,2725,Charles Hopkinson,American,Male,1869,1962
11837,35672,Bick Productions,,,0,0
3639,4071,Henry Moore,British,Male,1898,1986
10807,31033,Markus Schinwald,Austrian,Male,1973,0
484,560,Joseph Binder,American,Male,1898,1972
13824,47362,Andrea Klein,,Female,0,0
5978,6677,A. Lepère,Nationality unknown,,0,0
1636,1859,León Ferrari,Argentine,Male,1920,2013
14899,70051,Rania Ghosn,Lebanese,Female,1977,0
7686,9097,"J.P. Kayser Sohn, Cologne",,,1814,0
11930,36589,Mihály Biró,Hungarian,Male,1886,1949
3587,4011,Luciano Miori,Italian,Male,1922,2006
1108,1263,Toni Costa,Italian,Male,1935,2013
3170,3563,Jacques Lipchitz,American,Male,1891,1973
3601,4028,Dmitrii Mitrokhin,Russian,Male,1883,1973
8185,10381,"Blyde & Co. Ltd., England",,,0,0
2028,2292,Martus Granirer,American,Male,1933,0
793,900,Reg Butler,British,Male,1913,1983
6183,6897,Mariana Cook,American,Female,1955,0
2689,3022,Donald  Kaufman,American,Male,1935,0
7525,8591,The New York Times Studio,,,0,0
3960,4436,Osawa Gakyū,Japanese,Male,1890,1953
12801,41378,Max Schwimmer,German,Male,1895,1960
3144,3533,Léon Lhermitte,French,Male,1844,1925
2976,3349,Wifredo Lam,Cuban,Male,1902,1982
12859,41616,Jean Degottex,French,,1918,1988
4308,4819,Stephan Rath,Austrian,Male,1876,1960
12147,37691,Cyprien Gaillard,French,Male,1980,0
12360,38631,Elizabeth Flint Wade,American,,0,0
3240,3640,Markus Lüpertz,German,Male,1941,0
588,676,Paul-Émile Borduas,Canadian,Male,1905,1960
4304,4815,Rapier,British,,0,0
2515,2837,Arata Isozaki,Japanese,Male,1931,0
10849,31077,Tiehai Zhou,Chinese,Male,1966,0
9666,26951,Andy Diaz Hope,American,Male,1967,0
2704,3038,Kim Keever,American,Female,1950,0
582,669,Robert Bononno,American,Male,0,0
6166,6872,Ejler Bille,Danish,Male,1910,2004
6690,7564,Marc Tsurumaki,American,Male,1965,0
3110,3497,John Lesnick,American,Male,1953,0
13580,46475,Mark Farrow,British,Male,1960,0
8483,11136,"Bonniers International, Japan",Japanese,,0,0
22,38,Magdalena Abakanowicz,Polish,Female,1930,2017
12477,39276,M. A. Dillon,,Female,0,0
2827,3177,Aleksander Kobzdej,Polish,Male,1920,1972
12821,41433,Friz Freleng,American,Male,1905,1995
944,1071,Serge Charchoune,Russian,Male,1888,1975
2350,2652,Tristram Hillier,British,Male,1905,1983
14084,48183,Dirk Paesmans,Belgian,Male,1965,0
5019,5616,Kim Steele,American,Female,0,0
151,185,Bruce Angrave,British,Male,0,0
7034,8007,Santina Bonini,Italian,Female,1961,0
6037,6741,Fredrick J. Whiteman,American,Male,1909,1997
277,331,Jules-Jean-Antoine Baric,French,Male,1825,1905
5370,6001,Jerry Uelsmann,American,Male,1934,0
9906,28011,"Frabill, Inc.",American,,1944,0
9908,28019,Masamichi Udagawa,Japanese,Male,1964,0
3326,3729,C. Mann,British,,0,0
10973,31678,Cory Arcangel,American,Male,1978,0
4540,5086,Edward Ruscha,American,Male,1937,0
7935,9779,"Kromex Sales Co., Cleveland, OH",,,0,0
11888,35989,Andrei Monastyrski,Russian,Male,1949,0
753,853,Eugene Buechel,American,Male,1874,1954
4834,5411,Kenneth Showell,American,Male,1939,0
6674,7541,Don Brown,British,Male,1962,0
14513,66584,Ignazio Gardella,Italian,Male,1905,1999
9045,23439,Lev Bruni,Russian,Male,1894,1947
7214,8221,Roberto Magris,Italian,Male,1935,0
43,61,Alice Adams,American,Female,1930,0
14780,69486,Nikolay Diulgheroff,Bulgarian,Male,1901,1982
2926,3291,Mikhail Kuprianov,Russian,Male,0,0
5635,6300,Pepi Weixlgartner,Austrian,Female,1886,1981
9458,25104,"Wiener Porzellanmanufaktur Josef Böck (Josef Böck Porcelain Factory, Vienna)",,,0,0
8256,10562,"Robert Murphy's Sons Co., Ayer, MA",,,0,0
5838,6525,Mario Yrisarry,American,Male,1934,0
2535,2857,Bill Jacklin,British,Male,1943,0
2465,2779,Dalla Husband,Canadian,Female,1899,1945
11887,35987,Lutz Mommartz,German,Male,1934,0
12752,41231,Hilla Rebay von Ehrenwiesen,American,Female,1890,1967
5989,6688,J. G. Besson,French,Male,1868,0
10189,28702,Monica Majoli,American,Female,1963,0
8510,11197,"Figli di Amedeo Cassina, Meda, Italy",,,0,0
12650,40733,Henri-Patrice Dillon,French,Male,1851,1909
13424,45461,Jakub Szczęsny,Polish,Male,1973,0
13065,42731,James Benning,American,Male,1942,0
68,88,Gregory Ain,American,Male,1908,1988
5265,5885,Henriette Tirman,French,Female,1875,1952
734,834,Grisha Bruskin,Russian,Male,1945,0
14274,48932,Burt Payne 3,,,0,0
9735,27165,Cheryl Goldsleger,American,Female,1951,0
2728,3066,Colleen Frances Kenyon,American,Female,1951,0
1924,2179,A. Gisiger,Swiss,,0,0
6647,7512,Edward William Godwin,British,Male,1833,1886
6252,6981,H. Scott Orr,British,Male,0,0
2267,2556,Louis Hayet,French,Male,1864,1940
2353,2655,Hans Himbert,Swedish,Male,1951,0
14172,48593,Ishan Clemenco,,,0,0
4963,5555,Michael Spano,American,Male,1949,0
7012,7980,Jasper Morrison,British,Male,1959,0
4064,4549,Joseph Pennell,American,Male,1860,1926
12644,40658,Emily Sundblad,Swedish,Female,1977,0
4828,5402,Ushio Shinohara,Japanese,Male,1932,0
6198,6915,Eberhard Grames,German,Male,1953,0
13783,47236,Michael Ross,,Male,0,0
11138,32718,Jerszy Seymour,German,Male,1968,0
4959,5551,Giuseppe Spagnulo,Italian,Male,1936,0
7974,9923,"Markle Featherlite Products Corp., Rochester (later in Oak Park), MI",,,0,0
11494,34832,Daniel Reeves,American,Male,1948,0
3857,4319,Francis Noel,Nationality unknown,Male,1937,0
1597,1818,Louis Favre,French,Male,1892,1956
383,448,Joseph Bellanca,American,Male,1930,2013
5356,5983,Richard Tuttle,American,Male,1941,0
14816,69770,Silke Otto-Knapp,German,Female,1970,0
2592,2919,Patricia Johanson,American,Female,1940,0
7820,9465,"Alfi, Wertheim, Germany",German,,0,0
13157,43278,Adam Broomberg and Oliver Chanarin Studio,,,0,0
11487,34825,Bruce Gowers,British,Male,0,0
13959,47808,Jesus Fuck & Da Murderers,,,0,0
13278,44252,Christian Wolff,American,,1934,0
10166,28678,Raoul De Keyser,Belgian,Male,1930,2012
3656,4090,Maud Morgan,American,Female,1903,1999
8125,10270,"Innovations in Composites, Inc., CA",,,0,0
6409,7150,Flemming Bo Hansen,Danish,Male,1955,0
10286,28809,Elizabeth Simonson,American,Female,1964,0
4859,5441,Charles Simonds,American,Male,1945,0
7316,8337,Wilhelm Langloh,German,Male,0,0
1192,1357,Louise Dahl-Wolfe,American,Female,1895,1989
14306,49147,Munetsugu Satomi,Japanese,Male,1900,1995
8241,10522,"Anonima Castelli, Bologna, Italy",,,0,0
8334,10761,CSS/Winfield,,,0,0
14894,70038,Jacky Mallett,,,0,0
3314,3716,Man Ray (Emmanuel Radnitzky),American,Male,1890,1976
10630,30770,Anton Kannemeyer,South African,Male,1967,0
9086,23604,Viacheslav Ivanov,,,0,0
5906,6601,Joseph Norman,American,Male,1957,0
12519,39611,Matt Kenyon,American,Male,1977,0
11641,35165,Brüder Rasch,German,,0,0
7004,7971,Ernest Cole,South African,Male,1940,1990
13648,46752,Inaki Bonillas,Mexican,Male,1981,0
14438,49913,Robert Alexander,,,0,0
9148,23845,Mikhail Sokolov,,Male,0,0
3322,3725,Henri Manguin,French,Male,1874,1949
4329,4842,Ethel Reed,American,Female,1876,0
4913,5497,Robert Smithson,American,Male,1938,1973
11914,36363,Matt Connors,American,Male,1973,0
11300,33395,Joshua Mosley,American,Male,1974,0
12631,40555,Sturtevant,American,Female,1924,2014
8714,19043,Cliff Baldwin,,Male,0,0
3795,4249,Otto Nebel,German,Male,1892,1973
1767,2003,Arnold Friedman,American,Male,1879,1946
5471,6120,Jorge de la Vega,Argentine,Male,1930,1971
9483,25615,Mackay Hugh Baillie Scott,British,Male,1865,1945
8522,11361,Imprimerie Champenois,,,0,0
4644,5206,Josef Scharl,American,Male,1896,1954
1383,1573,Robert Doisneau,French,Male,1912,1994
5647,6313,F. H. Wenzel,Nationality unknown,,0,0
5334,5960,Albert Tucker,Australian,Male,1914,1999
2221,2509,Irving Harper,American,Male,1916,2015
821,928,Jo Ann Callis,American,Female,1940,0
12445,39112,Kacie Kinzer,American,Female,1983,0
3287,3688,Vico Magistretti,Italian,Male,1920,2006
8946,22975,Klaus Oberer,Swiss,Male,1937,0
804,911,Deborah Fleming Caffery,American,Female,1948,0
9748,27194,Laurie Reid,American,Female,1964,0
6913,7858,Juha Kaakko,Finnish,,1964,0
2891,3251,Irving Kriesberg,American,Male,1919,2009
5446,6088,R. H. Vance,American,Male,1825,1876
4776,5341,Jan Senbergs,Australian,Male,1939,0
3274,3674,W. E. Macnaughtan,American,,0,0
5097,5699,Karl Struss,American,Male,1886,1981
11481,34819,Barbara Buckner,American,Female,1950,0
8215,10462,"La Société F.S.D., France",,,0,0
15085,75340,Simon Goldin,,Male,0,0
7019,7988,Mathias Ungers,German,Male,1926,2007
2312,2608,Hanns Herkendell,German,Male,0,0
14100,48229,V. Serafimov,,,0,0
9234,24149,Izoram,,,0,0
9988,28352,Neo Human Toys,Dutch,,2003,0
1302,1483,Victor Delhez,Belgian,Male,0,0
8720,19238,Tim Rollins,American,Male,1955,2017
3168,3561,O. Winston Link,American,Male,1914,2001
8147,10302,"Owens-Illinois Glass Co., Toledo, OH",American,,1903,0
14061,48096,Akihisa Hirata Architecture Office,,,0,0
11414,34559,Massimo Morozzi,Italian,Male,1941,0
2825,3175,Kobayashi Riichiro,Japanese,Male,0,0
786,890,Pol Bury,Belgian,Male,1922,2005
13384,45039,Dieter Hülsmanns,German,Male,1940,1981
4918,5502,Giorgio Soavi,Italian,Male,1923,0
4142,4634,Lauren Piperno,American,Female,1949,0
5636,6301,Mieczyslaw Wejman,Polish,Male,1912,1997
3027,3403,Ger Lataster,Dutch,Male,1920,2012
7941,9791,"Bieffeplast S.p.A., Padua, Italy",,,0,0
2536,2858,Robert Jacks,Australian,Male,1943,0
12430,39015,Jane Solomon,,,0,0
7414,8464,Hércules Barsotti,Brazilian,Male,1914,2010
9487,25843,Jonathan Ive,British,Male,1967,0
2940,3309,Kuron - Gogol,German,,0,0
97,121,Adrian Allinson,British,Male,1890,1959
12228,38018,"Kotobuki Seating Company, Tokyo, Japan",Japanese,,1914,0
12425,39003,Frances Macdonald,British,,1873,1921
14022,47991,Henry Kluck,American,Male,1922,2007
7957,9872,"Stelton A/S, Copenhagen, Denmark",,,0,0
2594,2921,Gwen John,British,Female,1876,1939
2327,2627,Anton Heyboer,Dutch,Male,1924,0
5295,5918,Karl Trabert,German,Male,0,1968
8314,10704,"Rosenthal Einrichtung, Munich",,,0,0
7383,8427,Louis Henry,American,Male,1971,0
13943,47792,Ken Starkey,,,0,0
13695,46882,Bruce Fier,,,0,0
3063,3444,Jan Lebenstein,Polish,Male,1930,1999
9293,24385,Aleksandr Deineka,Russian,Male,1899,1969
1110,1265,John Costigan,American,Male,1888,1972
5545,6203,Theodore Waddell,American,Male,1928,0
4260,4765,Leonard Pytlak,American,Male,1910,1998
2066,2336,Ezio Gribaudo,Italian,Male,0,0
12761,41278,Akram Zaatari,Lebanese,Male,1966,0
13601,46506,E. Earl Curtis,American,Male,0,0
1333,1519,Jean Dewasne,French,Male,1921,1999
8972,23057,"Nottingham Rehab Ltd., England",,,0,0
11412,34557,Gilberto Corretti,Italian,,1941,0
13156,43277,Richard Maxfield,American,Male,1927,1969
10357,28889,Charles Dudley Arnold,Canadian,Male,1844,1927
1857,2105,William Gedney,American,Male,1932,1989
1995,2258,François Gos,French,Male,1880,0
5385,6018,Unknown Designer,Swedish,,0,0
10611,30654,Gary Hincks,,,1949,0
10267,28788,Wilhelm Sasnal,Polish,Male,1972,0
3750,4192,Eadweard J. Muybridge,American,Male,1830,1904
3575,3996,Zwi Milshtein,Israeli,Male,1934,0
14563,67420,Walter Burley Griffin,American,Male,1876,1937
2356,2658,Charles Hinman,American,Male,1932,0
14853,69882,John Furnival,British,Male,1933,0
712,810,Ray Brown,American,Male,1933,0
10858,31259,Rebecca Miller,American,Female,1962,0
1092,1245,Eugène Corneau,French,Male,1894,1976
10223,28738,David Noonan,Australian,Male,1969,0
8715,19053,Jean-Jacques Rullier,,Male,0,0
5640,6305,Neil Welliver,American,Male,1929,2005
10420,29220,Bjørn Refsum,Norwegian,,0,0
6698,7572,Wolf D. Prix,Austrian,Male,1942,0
3694,4131,Olivier Mourgue,French,Male,1939,0
14956,74398,Janez Lenassi,,,1927,2008
7419,8471,Christopher Brown,American,Male,1951,0
11326,33837,Geoffrey Mann,Scottish,Male,1980,0
1393,1585,Enrico Donati,American,Male,1909,2008
11369,34296,Haythornthwaite//Creativelab,New Zealander,,2000,0
10381,28963,Oliver Payne,British,Male,1977,0
11328,33849,Albin Johnson,American,Male,1887,1964
155,190,Thomas Annan,British,Male,1829,1887
3279,3680,Josaku Maede,Japanese,Male,1926,0
1459,1661,Stephen Durkee,American,Male,1939,0
14386,49584,Shaun Gladwell,Australian,Male,1972,0
6864,7807,Jerry Cooke,American,Male,1922,2005
14624,67823,Anton Lavinsky,Russian,Male,1893,1968
7105,8089,Christopher Bucklow,British,Male,1957,0
5714,6392,R. W. Winfield,British,,0,0
3965,4442,Anders Osterlin,Swedish,Male,1926,0
13526,46292,Jonathan Bepler,,,0,0
6098,6802,John Lange,Venezuelan,Male,1932,0
9739,27183,Julia Mangold,German,Female,1966,0
12949,42098,Michael Harris,American,Male,1933,0
13475,45926,David Tudor,American,Male,1926,1996
7664,9025,"Oy Fiskars Ab, Helsinki",,,0,0
7196,8202,Nari Ward,American,Male,1963,0
11227,33095,Oded Ezer,Israeli,Male,1972,0
9939,28148,"molo design, ltd., vancouver, canada",,,2004,0
9101,23655,D. P. Gordeev,,,0,0
1868,2116,Robert Genin,American,Male,1884,1943
11346,34065,Pere Portabella,Spanish,Male,1929,0
15096,75539,Alzira H. Teixeira,Brazilian,Female,0,0
5775,6456,Fritz Wotruba,Austrian,Male,1907,1975
2856,3208,Vladimir Michailovich Konashevich,Russian,Male,0,0
2000,2263,Zbigniew Gostomski,Polish,Male,1932,0
4355,4872,Marcia Resnick,American,Female,1950,0
4321,4833,George Reavey,Irish,Male,1907,1976
11406,34543,einLab,American,,0,0
7756,9289,"Cappellini S.p.A., Milan, Italy",,,0,0
8249,10543,"Randall Made Knives, Orlando, FL",,,0,0
6676,7545,Tracey Emin,British,Female,1963,0
9822,27662,Vitra GmbH,German,,0,0
2918,3282,Ivan Kudriashov,Russian,Male,1896,1972
12992,42341,Blanc et Demilly,French,,1924,1962
12718,41150,František Bílek,Czech,Male,1872,1941
3633,4064,Jan Montyn,Dutch,Male,1924,0
12638,40572,MOS Architects,,,2003,0
13420,45409,Richard Aldrich,American,Male,1975,0
10852,31080,Cornel Windlin,Swiss,Male,1964,0
7856,9577,"Umentani Craft, Kyoto",,,0,0
1791,2030,R. Buckminster Fuller,American,Male,1895,1983
2058,2327,Caroline Greenwald,American,Female,1936,0
4700,5264,Chicago School of Design,,,0,0
7302,8320,John Morris,American,Male,1965,0
8743,20631,Larry Mantello,American,Male,1964,0
2999,3374,Otto Lange,German,Male,1879,1944
14776,69475,John Borg Manduca,,,0,0
14745,68764,New Breed,American,,1968,0
2116,2389,Piero Guccione,Italian,Male,0,0
12776,41301,Spencer Drate,American,Male,1942,0
7926,9762,Lemurian Crafts,,,0,0
3062,3443,Jean-Jacques Lebel,French,Male,1936,0
7067,8044,Wolfgang Tillmans,German,Male,1968,0
11845,35746,Ivy Sky Rutzky,American,,1948,0
14400,49614,Aslı Çavuşoğlu,Turkish,Female,1982,0
6469,7217,Peter L. Zane,American,Male,1950,0
6707,7583,Rody Graumans,Dutch,Male,1968,0
8133,10281,"Ermenegildo Collini S.p.A., Milan, Italy",,,0,0
9998,28389,Arturo Vittori,Italian,Male,1971,0
13761,47168,Hubert Kretzschmar,,Male,0,0
2135,2414,Jules Guran,Nationality unknown,Male,0,0
14376,49541,Dargoljub Pavlov,Serbian,Male,1940,0
9978,28319,"Umbra, Buffalo, New York",,,1979,0
12333,38484,P. Scott Makela,American,Male,1960,1999
610,702,Bouillon,French,,0,0
1954,2214,David Goldblatt,South African,Male,1930,2018
79,100,Ivan LeLorraine Albright,American,Male,1897,1983
8760,21447,Jim Hodges,American,Male,1957,0
1556,1773,Dennis Evans,American,Male,1946,0
12379,38715,Karen Finley,American,Female,1956,0
1201,1369,Horia Damian,French,Male,1922,0
3514,3932,Carl (Carlo) Mense,German,Male,1886,1965
13449,45592,Sofía von Ellrichshausen,Argentine,Female,1976,0
8452,11066,"Sabattini Argenteria S.p.A., Como, Italy",,,0,0
9390,24588,Lore Feininger,German,Female,1901,1991
719,818,Roser Llop Bru,Chilean,Female,1923,0
11404,34541,Gilbert Bretterbauer,Austrian,Male,1957,0
2638,2967,Wolf Kahn,American,Male,1927,2020
5118,5720,George Sugarman,American,Male,1912,1999
2801,3145,Carl Heinz Kliemann,German,Male,1924,0
4688,5252,Bob Schnepf,American,Male,1937,0
93,117,William Allan,American,Male,1936,0
4938,5525,Eve Sonneman,American,Female,1946,0
412,482,Nicholas Bentley,British,Male,1907,1978
15100,75575,Sun Ra,American,Male,1914,1993
6144,6850,Gerhard von Ruckteschell,German,Male,1894,1970
14312,49169,Jiří Pelcl,Czech,Male,1950,0
12765,41285,X3 Studios,,,0,0
1506,1714,Etiènne Elias,Belgian,Male,0,0
2348,2650,Hille,Nationality unknown,,0,0
1712,1943,Raquel Forner,Argentine,Female,1902,1988
6468,7216,Gianfranco Facchetti,Italian,Male,1939,0
4373,4893,Georges Ribemont-Dessaignes,French,Male,1884,1974
1183,1345,Eugène Cuvelier,French,Male,1837,1900
1745,1978,Gianfranco Frattini,Italian,Male,1926,2004
1534,1748,Boris Nicolaevich Ermolaev,Russian,Male,1903,1982
14700,68230,Em Rooney,American,,1983,0
12468,39265,Mary Ethel Thompson,,Female,0,0
12087,37373,Seung H-Sang,Korean,Male,1952,0
574,659,Rodolfo Bonetto,Italian,Male,1929,1991
11657,35340,Amar Kanwar,Indian,Male,1964,0
8402,10947,"Griswold Manufacturing Co., Erie, PA",American,,1884,0
14026,48013,Carmelo González,Cuban,Male,0,0
11168,32799,Jaap Berghuis,Dutch,Male,1945,0
9373,24568,Nikolai Alekseev,,Male,0,0
7760,9304,"Synthetic Industries, Chattanooga, TN",American,,1969,0
13956,47805,David Peel & The Lower East Side,,,0,0
10476,29552,"Aero Sekur, Italy",Italian,,0,0
10402,29033,Richard Perez,South African,,1970,0
6096,6800,Jacobo Borges,Venezuelan,Male,1931,0
4477,5017,Brian Rose,American,Male,1954,0
2479,2795,Shoichi Ida,Japanese,Male,1941,2006
5068,5668,James Stirling,British,Male,1926,1992
1200,1368,Hubert Dalwood,British,Male,1924,1976
2675,3008,Gertrude Käsebier,American,Female,1852,1934
3381,3789,D. S. Martin,American,,1916,0
2920,3284,Rudolf Kügler,German,Male,1921,2013
12855,41583,Chen Shaoxiong,Chinese,Male,1962,2016
11174,32882,Carlo Naya,,,0,0
2742,3083,Michael Kidner,British,Male,1917,0
8182,10374,Fratelli Grivel (now Grivel S.r.l.),Italian,,1818,0
2452,2766,Hundertwasser (Friedrich Stowasser),Austrian,Male,1928,2000
9083,23600,Aleksei Morgunov,,Male,0,0
3654,4088,Carlo Moretti,Italian,Male,1934,0
10777,31001,Walter Obholzer,Austrian,Male,1953,0
8074,10164,"Josiah Wedgwood & Sons Ltd., Stoke-on-Trent, England",,,0,0
10644,30857,Fatih Aydogdu,Turkish,Female,1963,0
14286,49089,Clare Strand,British,Female,1973,0
14420,49722,Esther Regelson,American,Female,1959,0
5442,6083,Diederick Van Kleef,Dutch,Male,1954,0
5284,5907,Joaquín Torres-García,Uruguayan,Male,1874,1949
14878,69972,Pushpamala N,Indian,Female,1956,0
1469,1671,Charles Eames,American,Male,1907,1978
2211,2498,Marvin Harden,American,Male,1935,0
913,1037,Elizabeth Catlett,American,Female,1915,2012
14229,48790,Barbara Brown,British,Female,1932,0
8906,22846,"Eisenman Architects, New York",,,1988,0
1430,1626,Aleksandr Vasilevich Druzhkov,Russian,Male,1912,2004
1268,1442,J. De Praetre,German,,1879,1947
12630,40552,Quay Brothers,American,Male,1947,0
7928,9766,"Stede, Inc., Chicago",,,0,0
8247,10540,"Tensor Corporation, Brookyln, NY",,,0,0
7435,8494,Nedko Solakov,Bulgarian,Male,1957,0
15169,131944,Mark Teemer,American,Male,1946,0
13762,47171,Eloise Vega Smith,,Female,0,0
5620,6285,Elbert Weinberg,American,Male,1928,1991
166,204,Leon Appelbaum,American,Male,0,0
101,127,Gerhard Altenbourg,German,Male,1926,1989
11231,33114,Simon Heijdens,Dutch,Male,1978,0
11289,33362,"IDEA International Co., Ltd.",,,0,0
13318,44542,Tim Ferguson Sauder,American,Male,1972,0
12051,37179,Martín Ramírez,Mexican,Male,1895,1963
3606,4034,Jerry Moberg,American,Male,0,0
5198,5812,Taupin,French,,0,0
5021,5618,Bernard Steffen,American,Male,1907,1980
12955,42139,Véréna Paravel,French,Female,1971,0
13336,44660,Emily Roysdon,American,Female,1977,0
6701,7575,Winy Maas,Dutch,Male,1959,0
386,451,Mario Bellini,Italian,Male,1935,0
7927,9765,"André Giraud & Brousseau, Limoges, France",French,,0,0
66,86,Otl Aicher (also known as Otto Aicher),German,Male,1922,1991
4151,4643,Pitseolak,Canadian,Female,1904,1983
5929,6626,Michael Corris,American,Male,1949,0
9094,23628,Hryhorii Bondarenko,,Male,0,0
13215,43551,Mani Haghighi,Iranian,Male,1969,0
10806,31032,Hans Scheugl,Austrian,Male,1940,0
11711,35503,Ellen Spiro,American,Female,1964,0
11139,32719,"Kidrobot, New York",,,2002,0
9709,27035,"Leo Gerstenzang Infant Novelty Company; now Q-tips, Inc., USA",,,0,0
3088,3472,Michael Lekakis,American,Male,1907,1987
10118,28628,Tim Gardner,Canadian,Male,1973,0
7216,8223,Adolfo Natalini,Italian,Male,1941,0
7562,8629,Glenn Rudolph,American,Male,1946,0
13527,46293,Tim Berresheim,German,Male,1975,0
11433,34699,Julius Shulman,American,Male,1910,2009
12549,39845,Miloslav Prokop,Czech,Male,1896,1954
14282,49061,Kim Beom,Korean,male,1963,0
9561,26371,Kristin Lucas,American,Female,1968,0
1350,1537,Preston Dickinson,American,Male,1889,1930
320,379,Wall Batterton,British,Male,1932,0
4796,5365,L. A. Shafer,American,Male,1866,1940
842,954,Federico Cantú,Mexican,Male,1908,1989
9858,27786,Anthony Dunne,British,Male,1964,0
9132,23766,Aleksandr Arnshtam,,Male,0,0
13534,46319,Martin Sharp,Australian,Male,1942,2013
5182,5795,Rufino Tamayo,Mexican,Male,1899,1991
12739,41191,Jens S Jensen,Swedish,Male,1946,2015
14922,74095,Miguel Calvo,American,Male,1969,2014
10475,29551,Frans Verdonck,Dutch,,0,0
3838,4298,Nic Nicosia,American,Male,1951,0
4189,4689,C. Emanuele Ponzio,Italian,Female,1923,2015
714,812,William Brown,American,Male,0,0
4328,4841,Junius Redwood,American,Male,1917,1991
4689,5253,Klaus A. Schnitzer,American,Male,1944,0
459,532,Emilio Bertonati,Italian,Male,0,0
9762,27261,Visual AIDS Artists Caucus,American,,1988,0
10713,30933,Maria Hahnenkamp,Austrian,Female,1959,0
12645,40659,Stefan Tcherepnin,American,Male,1977,0
8815,22590,"Radice Snc, Italy",,,0,0
13162,43296,Eckart Rahn,German,,0,0
6302,7034,William K. Greiner,American,Male,1957,0
11224,33079,Chris Lasch,American,Male,1972,0
4887,5471,John Sloan,American,Male,1871,1951
1716,1948,Clyde Forsythe,American,Male,1885,1962
8366,10834,"Plastic Dispensers Inc., Newark, NJ",,,0,0
9954,28206,Dorota Jurczak,Polish,Female,1978,0
11952,36765,Willi Zierath,German,Male,1890,1938
8644,14195,Eugène Delâtre,French,Male,0,0
10900,31339,Katerina Seda,,Female,0,0
5840,6527,Yvaral (Jean Pierre Vasarely),French,Male,1934,2002
2118,2391,Svavar Gudnason,Icelandic,Male,1909,1988
14963,74418,Leslie Lowe,American,Female,0,0
2876,3234,Ljuba Kozintzeva-Ehrenburg,Russian,Female,1900,1970
15144,131745,Blanche Parker,American,Female,1902,1984
7952,9842,"Thonet Frères, Paris, France",,,0,0
5736,6415,Adrian Wiszniewski,British,Male,1958,0
12407,38915,Sharon Hayes,American,Female,1970,0
7204,8210,John Ross,American,Male,0,0
4900,5484,Joel Smith,American,Male,1929,0
8155,10316,"The Steubenville Pottery Company, Steubenville, OH",,,0,0
13121,42906,Lisa Oppenheim,American,Female,1975,0
