ConstituentID,Classification,DateAcquired,Cataloged,ObjectID,Height,Width
4434,Print,10/01/1974,Y,77655,54.5,45.6
1859,Print,04/06/2007,Y,407223,42,29.8
8476,Photograph,24/05/2001,Y,77060,22.3,15.3
5121,Drawing,30/03/2017,Y,294359,28.57505715,16.82753366
41829,Print,07/02/2013,N,169137,,
6109,Print,10/02/1969,N,166579,,
6329,Photograph,12/11/1935,Y,48908,19.2,24.4
710,Print,03/10/2012,Y,150611,10.8,6.8
5685,Photograph,,N,56159,24.6,19.8
131253,Photograph,12/11/2019,Y,397780,17.46253493,17.93878588
8611,Photograph,10/12/1996,Y,57201,172,232
1238,Print,18/10/1967,Y,32592,53.1,65.4
1690,Photograph,05/12/1984,Y,53394,17.2,25.4
2999,Drawing,10/12/1941,N,37462,,
6115,Video,08/10/2008,N,132018,0,0
41829,Print,07/02/2013,N,169229,,
1646,Illustrated Book,06/10/1964,N,25538,23.2,16
710,Print,03/10/2012,Y,150833,17.9,13.2
3580,Print,05/02/1968,Y,61024,25.1,30.5
229,Photograph,06/03/1968,N,40806,,
1055,Illustrated Book,06/10/1964,N,22465,28.8,22.2
44956,Architecture,06/10/2014,N,185986,0,0
6327,Photograph,05/04/1940,Y,46287,19,24.1
630,Print,03/10/2012,N,167390,35,25
3542,Drawing,17/09/1987,Y,35740,61.6,86.7
8333,Drawing,13/02/2001,Y,38506,10.8,9.2
1646,Illustrated Book,06/10/1964,N,25628,11.4,17.2
32472,Design,05/06/2007,Y,109200,20.955,14.9225
6104,Print,22/05/1978,N,168923,,
1633,Print,11/12/1968,N,77240,52,38.2
2002,Photograph,11/12/2003,N,89015,50.8001,40.6401
7166,Mies van der Rohe Archive,,N,87395,15.24,21.6
48036,Design,04/06/2015,Y,192653,71.12014224,45.72009144
1000,Photograph,10/12/1987,Y,54891,24.2,35.7
34784,Film,04/04/2019,N,298490,,
229,Photograph,06/03/1968,N,42058,,
5486,Print,13/01/2009,Y,126106,37.8,55.4
806,Illustrated Book,23/01/1991,Y,9636,54.2,43.7
4126,Print,11/01/1966,Y,75205,56.3,76.5
41829,Print,07/02/2013,N,169564,,
264,Photograph,10/12/1941,N,55477,11.7,16.5
41829,Ephemera,21/03/2018,N,297171,24.13004826,29.84505969
229,Photograph,06/03/1968,Y,42710,,
1081,Illustrated Book,06/10/1964,N,23321,9.1,7.5
673,Drawing,17/09/1987,Y,35634,74.93014986,104.7752096
21398,Multiple,08/10/2008,Y,132108,9.2,7.5
2811,Photograph,11/05/1978,N,52154,70,50.8
229,Photograph,06/03/1968,N,39378,,
4609,Print,24/03/1949,Y,64860,19.3,27
3615,Drawing,10/05/2005,Y,96563,44.5,29.8
37554,Drawing,07/10/2009,Y,130949,215.9004318,114.3002286
6077,Illustrated Book,06/10/1964,N,24850,19.8,17
5695,Print,10/01/1974,N,75813,72.8,52.3
229,Photograph,06/03/1968,N,42588,,
4079,Painting,29/09/1949,Y,80256,24.1,39.7
6037,Print,04/12/1969,Y,75448,67.7,71.4
5219,Drawing,20/04/1977,Y,85394,29.21005842,20.95504191
640,Illustrated Book,18/10/1967,N,32609,17.5,19.7
4550,Print,13/11/1995,N,100837,41.1,27.7
4840,Illustrated Book,06/10/1964,Y,30120,18.3,17.8
4016,Design,20/10/1938,Y,79723,157.5,203.2
8595,Photograph,,N,51417,16,21.9
8595,Photograph,14/06/2001,Y,86376,8.8,28.5
7166,Mies van der Rohe Archive,,Y,121996,60.96012192,106.6802134
24409,Design,22/02/2016,Y,201391,33.02006604,33.02006604
1973,Photograph,05/12/1984,N,53450,21.8,32.7
229,Photograph,06/03/1968,N,39895,,
2374,Print,20/10/1938,Y,66532,22,28.5
3567,Drawing,10/02/2004,Y,89944,27.9401,21.59
1055,Drawing,26/04/1945,Y,85029,53.0226,36.8301
3832,Print,05/04/1940,Y,69070,28.5,27.4
8059,Mies van der Rohe Archive,,N,143649,39.37007874,76.51765304
4195,Design,03/01/1945,Y,4954,73.5,91.6
4546,Print,04/06/1985,Y,63276,24.3,35.2
229,Photograph,06/03/1968,N,42633,,
6168,Architecture,10/06/2016,N,204175,54.61010922,88.9001778
4448,Drawing,05/05/1993,N,35236,15.9,11.1
8043,Drawing,10/05/2005,Y,97189,41.91008382,29.84505969
1633,Drawing,10/10/1968,Y,85182,14.2875,8.5725
6170,Photograph,17/12/1981,N,55022,32.1,26.8
5414,Print,19/12/1958,N,68498,14,17.6
8464,Drawing,08/02/2005,Y,94519,29.5276,29.5276
8059,Mies van der Rohe Archive,,N,147806,41.59258319,38.1000762
2769,Print,04/12/1969,Y,77068,44.1,68.6
2678,Drawing,18/10/1967,Y,38829,15.24,20.955
924,Photograph,10/11/1971,Y,55147,19.3,24.4
710,Illustrated Book,02/06/2005,Y,121724,27,33.8
5098,Illustrated Book,30/05/1989,Y,12054,15.2,9.5
2199,Print,21/01/2016,Y,199258,5.08001016,4.127508255
5804,Illustrated Book,06/10/1964,Y,31669,8.9,11.9
8092,Drawing,10/05/2005,Y,95947,17.145,45.7201
28747,Drawing,10/05/2005,Y,96918,22.86,12.7
229,Photograph,16/01/1941,Y,43947,25.1,20.4
3773,Sculpture,08/10/2008,N,132061,5.5,15.7
2880,Photograph,13/10/1977,N,51951,12.8,18.7
1293,Drawing,21/01/2016,Y,201979,,
1104,Illustrated Book,07/01/1975,N,9864,11,28.4
649,Print,22/01/1992,Y,108942,45.7,31.5
29732,Architecture,07/06/2012,Y,161386,29,21
1634,Illustrated Book,11/12/1968,Y,174623,15.4,10
3086,Painting,08/06/1992,Y,79466,237.8,128
4479,Print,24/05/2001,N,77016,45.5,57.5
49682,Photograph,19/05/2016,N,215875,0,40.64008128
2372,Print,08/12/1939,Y,71493,22.2,39.4
34650,Print,12/03/2008,Y,118167,81,65
4548,Photograph,09/01/1962,N,54869,34.8,27
3404,Sculpture,08/11/1961,Y,81322,255.2,116.8
24697,Design,18/10/2005,Y,100126,29.5276,36.5126
6329,Photograph,12/11/1935,Y,49129,19.2,24
6072,Drawing,21/03/2018,Y,217864,99.37769876,72.39014478
6136,Print,19/02/1958,N,61200,,
922,Illustrated Book,06/10/1964,Y,405528,29,23.6
2923,Print,17/11/1993,Y,72907,72,46.6
34459,Film,08/10/2008,N,188475,0,0
38023,Multiple,08/10/2008,N,275255,8.6,15.4
5145,Photograph,28/05/2015,Y,194109,,
131745,Photograph,07/10/2010,N,174503,28.57505715,39.37007874
4831,Print,06/04/1965,N,64432,68.3,35.6
3650,Photograph,15/10/1992,Y,52908,28,35.6
24671,Design,13/05/2002,Y,84260,99.6952,62.8651
5809,Print,26/05/1960,Y,63621,90.5,63.3
5084,Drawing,10/05/2005,Y,97892,55.8801,63.5001
3566,Drawing,02/11/1977,N,37236,,
3762,Print,19/12/1947,N,91935,17.8,20.8
7919,Print,25/10/2005,Y,100557,150,97.2
4327,Print,19/03/1956,Y,11614,16.2,11
7166,Mies van der Rohe Archive,,N,214728,20.32004064,25.4000508
1892,Print,18/01/1983,Y,64626,62.2,55.9
3923,Print,29/09/1949,N,90003,,
4975,Illustrated Book,24/01/2001,Y,15932,17.2,12.9
1055,Illustrated Book,06/10/1964,N,22762,29.6,24.6
74481,Photograph,,N,295469,,
3580,Illustrated Book,15/10/1959,N,21572,15.2,4.5
710,Print,18/11/1999,Y,68764,30.4,25.2
1533,Photograph,08/05/2014,N,185064,21.7487935,28.41630683
8595,Photograph,26/10/2017,Y,277379,5.08001016,5.08001016
5740,Design,15/04/2009,Y,129068,22.22504445,28.0988062
483,Painting,17/02/1938,Y,78365,63.5,86.4
4315,Photograph,15/06/1995,Y,55821,19.6,24.5
1235,Design,24/09/2001,Y,1102,20.32,
5785,Multiple,08/10/2008,N,131756,2.5,6
3810,Photograph,20/10/2005,Y,101413,36,22.8
1873,Photograph,08/10/2008,N,135458,30.9,22.5
4550,Print,13/11/1995,Y,100816,41.9,25
41861,Film,12/04/2012,N,160678,,
8383,Drawing,11/04/2007,Y,127859,24.76504953,30.48006096
6459,Frank Lloyd Wright Archive,,N,201680,30.16256033,83.82016764
366,Illustrated Book,20/05/1992,N,14764,31.9,25.7
8595,Photograph,12/11/2019,N,400093,7.7,7.6
8276,Drawing,10/05/2005,Y,96151,50.48260097,59.37261875
69904,Architecture,12/02/2018,N,274541,90,126
1243,Print,25/10/1956,Y,67589,31,24.9
8595,Photograph,07/10/2010,Y,141092,10.8,8.5
1492,Illustrated Book,06/10/1964,N,23987,25,17.6
32631,Installation,11/04/2007,Y,108909,,
5785,Drawing,05/11/2018,Y,289429,29.84505969,42.22758446
411,Illustrated Book,09/01/1986,N,9589,15,30.5
8059,Mies van der Rohe Archive,,N,140922,20.95504191,29.84505969
4185,Print,14/11/2006,Y,105754,44.4501,39.3701
47646,Drawing,23/05/2018,Y,284264,23.17754636,32.38506477
26544,Video,,Y,88840,,
3716,Photograph,02/04/1974,N,47510,21.3,14.6
5569,Photograph,,N,229545,25.4,20.3
3821,Illustrated Book,06/10/1964,N,28182,17.5,15
3528,Print,04/04/2002,Y,91406,72,91.1
1055,Illustrated Book,24/01/2001,Y,13686,29.3,23
2141,Sculpture,10/01/1967,Y,81822,5.4,
,Print,,N,84742,,
1851,Drawing,05/03/1970,Y,38460,,
3213,Drawing,10/04/2012,Y,160637,25.4000508,20.32004064
6318,Painting,18/10/1967,Y,80212,203.8,165.1
2895,Print,05/05/1982,Y,62400,66.3,60.6
3302,Illustrated Book,10/05/1966,N,15244,15.3,12.2
1000,Photograph,09/02/2009,Y,110882,58.8964,90.0114
4325,Illustrated Book,07/02/1972,N,9286,24.5,20.4
97,Illustrated Book,09/05/1975,N,12157,20.4,38.2
5667,Photograph,,Y,51122,18.3,23.6
1633,Print,06/12/1966,N,143600,,
6989,Photograph,11/10/1990,Y,52118,41.2,58.6
3344,Print,22/05/1969,Y,17174,58.42011684,73.66014732
416,Photograph,04/12/1974,Y,58060,21,29.3
5804,Drawing,07/05/1963,N,35913,,
2240,Print,08/10/1963,Y,70229,38.7,50.6
4550,Print,27/10/2015,Y,200628,19,14.7
25967,Print,07/03/2007,Y,105974,41.1,35
36944,Print,08/10/2008,N,137196,42.1,29
4016,Illustrated Book,06/10/1964,Y,29063,25.3,21
8595,Photograph,07/10/2010,Y,141129,8.4,5.6
68232,Photograph,26/10/2017,Y,221837,73.66014732,48.26009652
861,Photograph,,N,45396,24.2,19.1
47937,Periodical,,N,183648,27.5,18.2
4872,Photograph,04/06/1974,Y,51793,30.5,45.2
35285,Print,18/06/2008,Y,146813,43.1,55.9
38623,Photograph,02/05/1944,Y,140995,39.3701,29.2101
229,Photograph,06/03/1968,N,38912,,
41829,Print,07/02/2013,N,169317,,
,Periodical,10/11/2010,N,144379,30.8,23.2
5053,Illustrated Book,06/10/1964,N,30522,30.1,20
7053,Photograph,12/11/2019,Y,401266,45.08509017,55.88011176
67458,Drawing,,Y,222469,25.4000508,36.83007366
1485,Drawing,10/11/1964,Y,85664,13,18.4
24714,Design,24/09/2001,Y,1099,19.685,13.6525
756,Multiple,08/10/2008,Y,128043,27.6,9.2
3753,Illustrated Book,06/10/1964,Y,28081,9.9,14.8
1681,Photograph,13/06/1996,Y,49855,24.8,20
35987,Video,08/10/2008,Y,122026,,
5640,Drawing,28/04/1981,Y,34450,14.9,22.2
863,Print,13/12/1967,Y,73365,46.2,38.3
97,Print,09/02/1967,N,60419,39.9,39.9
2453,Photograph,,Y,48334,18.5,23.7
2566,Illustrated Book,13/12/1967,N,32825,49.1,32.3
135,Photograph,29/12/1942,Y,52754,16,24.2
3130,Drawing,24/04/1950,Y,33854,16.51003302,11.43002286
4823,Print,11/09/1974,Y,68132,120.3,102.2
5496,Photograph,12/01/1954,N,55375,,
924,Photograph,08/05/1962,Y,48597,17.46253493,17.14503429
101,Design,18/02/1943,N,162978,,
710,Print,04/04/2002,Y,130222,29.5,29.5
1547,Drawing,11/10/1966,Y,36796,43.5,24.1
5293,Drawing,07/04/1953,Y,35215,15.2,15.9
229,Photograph,06/03/1968,N,39732,,
21398,(not assigned),08/10/2008,N,136845,0,0
6115,Print,08/10/2008,Y,130630,2.2,6
1634,Illustrated Book,11/12/1968,Y,174607,19.8,30.9
4114,Drawing,07/10/2009,Y,130831,18.73253747,14.60502921
24211,Illustrated Book,24/01/2001,N,20295,34.5,25.3
2991,Print,08/05/1962,Y,12686,33.8,48.3
7474,Illustrated Book,08/10/2008,Y,121446,24.5,15.5
8595,Photograph,07/10/2010,N,141282,10.4,5.7
871,Print,07/03/2011,Y,146791,27.3,21.7
2654,Painting,19/12/1947,Y,79467,81.3,86.7
27397,Architecture,06/10/2014,Y,184904,55,89
4285,Drawing,18/10/1996,Y,38100,29.2,41.3
4016,Design,07/11/1962,N,6065,62.9,43.2
484,Illustrated Book,30/01/1953,N,10550,22.6,22.6
5212,Photograph,22/04/1959,N,54498,71.2,50.8
4804,Drawing,05/11/2018,Y,293097,27.94005588,21.59004318
6287,Photograph,13/10/1994,Y,54627,26.4,33.8
4609,Print,13/11/2001,Y,82660,35,26.8
416,Photograph,04/12/1974,Y,58088,22.1,24.2
3641,Illustrated Book,06/10/1964,N,27424,23.6,21.9
3515,Drawing,05/11/1992,Y,84906,35.6,27.9
5413,Painting,11/12/1989,Y,79475,300.3556,300.3556
5414,Print,19/12/1958,Y,68518,8.9,12.5
7080,Print,27/10/2015,Y,200651,0,0
6621,Print,20/11/2003,N,89488,56.1,76.7
31258,Work on Paper,,N,152054,,
5181,Print,05/03/1970,Y,62748,49.9,41
8265,Design,07/03/1968,Y,5598,50,43.9
1717,Photograph,22/04/1959,Y,46984,50.6,36.4
3814,Illustrated Book,29/09/1949,N,19190,16.2,11.2
4165,Drawing,07/12/1965,Y,38329,55.9,66.7
13076,Illustrated Book,24/01/2001,Y,13101,22.3,18.1
30876,Drawing,04/04/2019,Y,299467,,
1293,Drawing,21/01/2016,Y,201951,,
2422,Photograph,12/10/1978,Y,56021,26.6,29.2
5145,Photograph,28/05/2015,Y,194067,,
4609,Print,13/11/2001,Y,82659,35.1,27.2
8595,Photograph,,Y,405377,,
7056,Architecture,17/01/1995,Y,45,121.9,61
4016,Design,10/05/1966,Y,6293,65.8,47.9
30876,Drawing,04/04/2019,Y,299351,,
35579,Video,07/06/1983,Y,120526,,
5760,Photograph,29/01/1974,Y,45208,19.1,24.2
4192,Photograph,11/02/1964,N,47877,13.5,23.7
665,Illustrated Book,06/10/1964,N,21824,8.9,5.4
8595,Photograph,07/10/2010,Y,141243,7.9,6.4
8277,Print,09/11/2000,N,101850,,
1055,Illustrated Book,06/10/1964,N,23074,32.1,23.5
1533,Photograph,08/05/2014,N,185514,21.7487935,28.41630683
7032,Photograph,13/12/1990,N,132586,20.3,25.4
4109,Photograph,13/12/1967,N,58889,17.8,24.2
3048,Drawing,13/02/2001,Y,109750,19,20.3
5086,Print,05/03/1970,Y,62708,4.1,3.5
21446,Drawing,10/05/2005,Y,97084,27.9,22.2
21398,Illustrated Book,,N,283489,19.1,21.2
3086,Illustrated Book,23/05/1984,N,13464,57.9,84.1
1974,Print,03/06/2020,Y,404618,0,0
36471,Photograph,,N,273347,15.6,10.9
8595,Photograph,26/10/2017,Y,277465,5.08001016,5.08001016
7662,Sculpture,09/12/2010,Y,163576,0,515
6399,Photograph,11/10/2007,Y,111065,22.7,33.7
1467,Drawing,16/09/2010,Y,140488,46.03759208,57.46761494
710,Print,18/06/2008,Y,84312,23.8,19
511,Illustrated Book,06/10/1964,Y,20593,2.5,7.8
7166,Design,03/02/1949,Y,1595,79.1,50.5
2229,Illustrated Book,24/01/2001,N,142980,28.4,21.7
1652,Print,17/11/2009,Y,132401,37.8,39.5
37719,Print,17/11/2009,N,155959,34.5,21
3587,Design,07/11/1962,Y,6052,127,80
1651,Photograph,22/04/1959,N,46935,22.5,34.5
1633,Illustrated Book,15/01/1987,N,17797,20.1,20.1
8595,Photograph,14/06/2001,Y,86408,8.9,28.5
4945,Illustrated Book,10/11/1977,N,17555,44,49
3542,Print,13/12/1967,Y,78204,49.7,28.4
26839,Drawing,10/04/2007,Y,108386,138.4303,71.7551
8595,Photograph,14/06/2001,Y,86372,8.8,28.6
1750,Illustrated Book,06/10/1964,N,25907,32,25.1
8297,Photograph,08/05/2014,N,181935,49.8475997,66.04013208
4866,Photograph,10/03/1988,Y,46122,17.2,23
1652,Print,11/03/2003,Y,87841,,
8059,Mies van der Rohe Archive,,N,147805,45.72009144,48.89509779
1847,Photograph,11/05/2009,Y,127203,15.3,12
8595,Photograph,,Y,405170,,
740,Photograph,09/05/2012,Y,159963,24.2,19.2
3409,Illustrated Book,06/10/1964,N,26995,22.5,18.4
1500,Illustrated Book,06/10/1964,N,24666,19.8,22.5
5421,Print,29/09/1949,Y,70378,20.3,26.2
7166,Mies van der Rohe Archive,,N,87484,15.24,21.59
7166,Mies van der Rohe Archive,06/11/1974,N,106839,27.14630429,59.05511811
5623,Photograph,07/01/1970,N,44226,17.1,12
1777,Photograph,13/04/1933,Y,46066,15.5,11.6
3514,Print,11/01/1966,Y,60177,32.5,23.9
5994,Illustrated Book,26/05/1960,N,12970,8.8,5
25181,Drawing,15/10/2002,Y,86487,28,22.225
1656,Illustrated Book,24/05/1951,N,14405,13.2,9.5
30876,Drawing,04/04/2019,Y,299327,,
28195,Print,07/03/2007,N,107063,0,0
4016,Illustrated Book,07/02/1972,Y,9228,35.5,50
1646,Illustrated Book,06/10/1964,N,25674,7.2,18.2
4609,Illustrated Book,06/10/1964,Y,29275,15.7,11.6
229,Photograph,06/03/1968,Y,41691,,
41829,Print,07/02/2013,N,169503,,
5910,Print,11/07/1946,Y,126483,28.9,24
25414,Illustrated Book,07/02/2012,N,159951,33.3,46
7851,Photograph,09/11/1965,Y,57069,19,24.2
5134,Photograph,09/01/1992,N,46036,63,52.7
2934,Sculpture,08/10/2008,N,132146,10.6,10
5509,Print,06/04/1954,Y,63929,29.8,39.6
135,Photograph,07/03/1967,Y,46245,19.6,24
229,Photograph,06/03/1968,Y,42526,,
229,Photograph,06/03/1968,N,39355,,
922,Illustrated Book,06/10/1964,Y,402171,23.2,17.2
3213,Drawing,10/04/2012,Y,160633,25.4000508,20.32004064
5086,Print,10/01/1974,Y,73310,33.8,48.5
1965,Print,06/12/1966,Y,72365,34.3,25.9
5145,Photograph,28/05/2015,Y,193917,,
3426,Illustrated Book,06/10/1964,Y,27160,10.7,10.9
2915,Illustrated Book,18/10/1967,N,32507,9.9,4.9
43916,Architecture,06/10/2014,Y,184760,28,35
472,Print,10/01/1974,Y,75222,22,20.3
7166,Mies van der Rohe Archive,,Y,87515,34.3,85.1
2015,Photograph,02/04/1974,N,47284,15.3,22.9
74970,Photograph,24/10/2018,Y,291297,10.95377191,15.55753112
1690,Photograph,22/05/1986,Y,48772,26,38.3
67458,Drawing,,Y,222457,25.4000508,36.83007366
5797,Photograph,10/03/1977,N,46670,15.2,15.2
1055,Illustrated Book,06/10/1964,N,23044,31.7,23.9
44478,Print,07/02/2013,Y,168851,42.8,28.4
2079,Photograph,16/01/1941,Y,83246,17.8,22.9
40578,Illustrated Book,06/10/2011,N,150259,21.5,29.8
3315,Drawing,10/05/2005,Y,96440,23.1775,26.6701
710,Print,07/02/2012,Y,150715,16.3,16.3
1634,Illustrated Book,11/12/1968,Y,174599,11.7,13.8
4279,Print,28/10/1980,N,71696,18.9,23.7
45960,Design,19/05/2014,Y,175118,7.937515875,27.94005588
7653,Photograph,11/03/1993,N,44976,25.9,26.6
13012,Periodical,24/01/2001,Y,83949,34.3,24
1055,Print,06/10/1964,Y,32007,27.5,20
4514,Drawing,27/02/1935,Y,34327,14.9,20
6338,Photograph,12/02/1975,Y,46205,21.6,17
6459,Frank Lloyd Wright Archive,,N,200779,61.27762256,91.44018288
3373,Photograph,15/06/1995,N,50277,27.2,33.8
665,Illustrated Book,06/10/1964,N,21637,28.6,22.9
5749,Photograph,16/01/1941,Y,83099,19.5,14.8
5623,Photograph,12/03/1963,N,48245,30.7976,37.1476
229,Photograph,06/03/1968,Y,43678,,
710,Print,20/05/1992,Y,64909,10.5,14.5
3373,Photograph,16/01/1941,Y,44664,19.4,21.9
5263,Print,04/06/1968,N,155876,64.77012954,48.57759716
3426,Illustrated Book,06/10/1964,Y,27154,13.2,13.2
229,Photograph,06/03/1968,N,42072,,
26342,Architecture,02/10/2003,Y,88812,45.9,114.3
1547,Illustrated Book,11/04/1967,Y,15684,11.1,15.2
5017,Photograph,10/12/1987,Y,55435,35.5,45.7
5983,Illustrated Book,07/01/1975,N,10350,31.1,51.7
26770,Print,17/11/2009,Y,133157,9.8,11.9
4840,Painting,10/04/2000,N,79207,38.4,55.3
8654,Photograph,14/12/1995,Y,56470,38,48.9
